date,gz_spread,ebp,est_prob
01/09/2013,2.110294838,-0.144864163,0.171133263
01/10/2013,2.011625325,-0.057108319,0.198220808
01/11/2013,1.965124735,-0.019114459,0.210709694
01/12/2013,1.808342483,-0.171650557,0.163360485
01/01/2014,1.868114076,-0.319091647,0.12473985
01/02/2014,1.768325358,-0.226158033,0.14826342
01/03/2014,1.718339203,-0.288461668,0.132186236
01/04/2014,1.662773449,-0.368918156,0.113262371
01/05/2014,1.662010516,-0.381753493,0.110431829
01/06/2014,1.631026333,-0.316478316,0.125363492
01/07/2014,1.690206351,-0.319936628,0.12453867
01/08/2014,1.684796103,-0.314132536,0.125925136
01/09/2014,1.837921086,-0.21122567,0.152303288
01/10/2014,1.941521437,-0.210790984,0.152421975
01/11/2014,2.106355275,0.063549281,0.23942307
01/12/2014,2.19972969,0.097105824,0.251661662
01/01/2015,2.279822618,-0.020744221,0.21016468
01/02/2015,2.03059168,-0.268816354,0.137120416
01/03/2015,2.142326491,-0.114335649,0.180275417
01/04/2015,2.11174008,0.011483962,0.221095175
01/05/2015,2.119061912,0.055542496,0.236551653
01/06/2015,2.237465674,0.15010575,0.271644596
01/07/2015,2.372714191,0.215195308,0.297220223
01/08/2015,2.48542322,0.401053587,0.375615956
01/09/2015,2.702088294,0.539912643,0.437982089
01/10/2015,2.471066256,0.422237056,0.384965472
01/11/2015,2.528946464,0.510428035,0.424553496
01/12/2015,2.746173111,0.688445692,0.506403635
01/01/2016,3.13903615,0.921615523,0.612668152
01/02/2016,3.154218939,0.950610391,0.625471497
01/03/2016,2.731578857,0.572570243,0.452938974
01/04/2016,2.452411591,0.228004835,0.302380215
01/05/2016,2.421805439,0.240582171,0.307485402
01/06/2016,2.521250098,0.056430984,0.236869348
01/07/2016,2.326232592,0.004116171,0.21856803
01/08/2016,2.127710664,-0.028669384,0.207526227
01/09/2016,2.118115019,-0.079641183,0.191029859
01/10/2016,1.920105475,-0.086106952,0.188996342
01/11/2016,1.830897911,-0.725637268,0.052319034
01/12/2016,1.692245391,-0.251368904,0.141606828
01/01/2017,1.649068799,-0.204109657,0.154253959
01/02/2017,1.601242935,-0.189551209,0.158296042
01/03/2017,1.636609461,-0.179385955,0.161159214
01/04/2017,1.6235335,-0.131806919,0.175006525
01/05/2017,1.588199575,-0.180512166,0.160840348
01/06/2017,1.566201728,-0.13903235,0.172856371
01/07/2017,1.509787226,-0.165223098,0.165204341
01/08/2017,1.628970373,-0.092993801,0.18684512
01/09/2017,1.511691632,-0.268193054,0.137278998
01/10/2017,1.440638236,-0.228623873,0.147603261
01/11/2017,1.452874107,-0.145018282,0.171087876
01/12/2017,1.411354737,-0.206249356,0.153665686
01/01/2018,1.27594707,-0.403009416,0.105856502
01/02/2018,1.376719332,-0.251480265,0.141577881
01/03/2018,1.536702352,-0.111554587,0.181123207
01/04/2018,1.447255724,-0.287893682,0.132327152
01/05/2018,1.534492759,-0.200244255,0.155320454
01/06/2018,1.62023353,0.018485581,0.223512142
01/07/2018,1.483640664,-0.136026559,0.173748785
01/08/2018,1.521728633,-0.104409016,0.18331292
01/09/2018,1.429591092,-0.184227862,0.159791241
01/10/2018,1.583947024,-0.013394537,0.212629063
01/11/2018,1.791609741,0.132462386,0.264905654
01/12/2018,2.080140923,0.326064395,0.343134779
01/01/2019,1.827537215,0.156870592,0.2742509
01/02/2019,1.645441047,0.044880729,0.232757695
01/03/2019,1.675881288,-0.13995189,0.172583945
01/04/2019,1.577634306,-0.026792996,0.20814914
01/05/2019,1.819445704,-0.034249612,0.205680253
01/06/2019,1.689824792,-0.014142095,0.212377635
01/07/2019,1.63468896,-0.063808221,0.196065776
01/08/2019,1.81143899,-0.172856632,0.163015991
01/09/2019,1.728071854,-0.252050105,0.141429821
01/10/2019,1.705725998,-0.24546747,0.143146574
01/11/2019,1.635732948,-0.193562426,0.157175473
01/12/2019,1.482213844,-0.309788756,0.126969785
01/01/2020,1.664476372,-0.264831759,0.138136353
01/02/2020,1.993094682,-0.165909535,0.165006781
01/03/2020,3.852399648,1.215042378,0.734454501
01/04/2020,2.910489737,0.655039566,0.490959475
01/05/2020,2.540955541,0.390524904,0.370995677
01/06/2020,2.343727121,0.040480334,0.231201741
01/07/2020,2.04897789,-0.173491533,0.162834833
01/08/2020,1.951536532,-0.300472355,0.129230615
01/09/2020,2.068964545,-0.018360016,0.210962271
01/10/2020,1.944657516,-0.22576619,0.148368506
01/11/2020,1.683001267,-0.484397356,0.089604909
01/12/2020,1.496141281,-0.523182146,0.082547076
01/01/2021,1.455066837,-0.674445016,0.058974086
01/02/2021,1.396472468,-0.957404333,0.029287189
01/03/2021,1.336632613,-0.762667036,0.047887852
01/04/2021,1.274630678,-0.504253041,0.085937574
01/05/2021,1.266839451,-0.441224386,0.097978299
01/06/2021,1.187028817,-0.594074247,0.07074027
01/07/2021,1.254543747,-0.561747554,0.075952424
01/08/2021,1.247552111,-0.488484423,0.088840673
01/09/2021,1.192862818,-0.650555352,0.062298917
01/10/2021,1.185838498,-0.52670635,0.08192711
01/11/2021,1.335766707,-0.444581047,0.097307401
01/12/2021,1.247451318,-0.446250346,0.096975015
01/01/2022,1.362885064,-0.34495157,0.118685417
01/02/2022,1.524778054,-0.209057469,0.152895902
01/03/2022,1.417373641,-0.800867934,0.043636677
01/04/2022,1.593228902,-0.28892123,0.132072295
01/05/2022,1.584541065,-0.121291675,0.178165841
01/06/2022,1.944444817,0.07772323,0.244552513
01/07/2022,1.725358343,-0.00870586,0.214209977
01/08/2022,1.721928349,-0.042768269,0.202881099
01/09/2022,1.881655416,0.028159888,0.226876324
01/10/2022,1.681977502,0.077529563,0.24448203
01/11/2022,1.576378154,-0.244755499,0.143333096
01/12/2022,1.523064406,-0.032623918,0.206217034
01/01/2023,1.421608008,-0.054248841,0.199144899
01/02/2023,1.489803566,-0.166362913,0.164876381
01/03/2023,1.531755717,-0.213817043,0.151597016
01/04/2023,1.539290653,0.140848528,0.268098147
01/05/2023,1.571903157,0.092108464,0.249818348
01/06/2023,1.411362575,0.140381874,0.267919991
01/07/2023,1.306922257,-0.01524446,0.212007191
01/08/2023,1.340311037,0.038181588,0.230391231
01/09/2023,1.330534473,-0.041771625,0.203207407
01/10/2023,1.425382324,0.195348813,0.289306084
01/11/2023,1.189365643,-0.090785446,0.18753328
01/12/2023,1.138262875,-0.243778803,0.143589238
